model,family,persona_id,distance_from_self
gemini-2.5-flash,Gemini,17,6.5038450166036395
gemini-2.5-flash,Gemini,18,6.941181455631311
gemini-2.5-flash,Gemini,19,8.857764955111419
gemini-2.5-flash,Gemini,20,10.155294185792945
gemini-2.5-flash,Gemini,21,5.674504383644442
gemini-2.5-flash,Gemini,22,6.694774081326418
gemini-2.5-flash,Gemini,23,5.627610505356603
gemini-2.5-flash,Gemini,24,8.827230596285565
gemini-2.5-flash,Gemini,25,13.016912076218384
gemini-2.5-flash,Gemini,26,7.611832893594026
gemini-2.5-flash,Gemini,27,8.357631243360766
gemini-2.5-flash,Gemini,28,5.547972602672078
gemini-2.5-flash,Gemini,29,9.091204540653566
gemini-2.5-flash,Gemini,30,8.061637550770934
gemini-2.5-flash,Gemini,31,3.698648401781386
gemini-2.5-flash,Gemini,32,5.6991227395100035
gemini-2.5-flash,Gemini,33,5.7775427302617155
gemini-2.5-flash,Gemini,34,7.1014083110323964
gemini-2.5-flash,Gemini,35,6.499230723708769
gemini-2.5-flash,Gemini,36,6.136774397026503
gemini-2.5-flash,Gemini,37,5.978294071054049
gemini-2.5-flash,Gemini,38,4.604345773288535
gemini-2.5-flash,Gemini,39,4.249705872175156
gemini-2.5-flash,Gemini,40,6.860757975617563
gemini-2.5-flash,Gemini,41,6.178996682310163
gemini-2.5-flash,Gemini,42,8.5492689745966
gemini-2.5-flash,Gemini,43,5.98247440445841
gemini-2.5-flash,Gemini,44,8.052949770115296
gemini-2.5-flash,Gemini,45,10.422571659624126
gemini-2.5-flash,Gemini,46,5.01398045468867
gemini-2.5-flash,Gemini,47,9.465199416811037
gemini-2.5-flash,Gemini,48,7.032780389006897
gemini-2.5-flash,Gemini,49,6.044832503882965
gemini-2.5-flash,Gemini,50,8.422588675698226
gemini-2.5-flash,Gemini,51,9.381364506296512
gemini-2.5-flash,Gemini,52,5.501817881391568
gemini-2.5-flash,Gemini,53,9.204890004774636
gemini-2.5-flash,Gemini,54,7.088723439378913
gemini-2.5-flash,Gemini,55,7.218725649309579
gemini-2.5-flash,Gemini,56,7.958014827832379
gemini-2.5-flash,Gemini,57,6.708949247087803
gemini-2.5-flash,Gemini,58,7.9918708698276655
gemini-2.5-flash,Gemini,59,4.485532298401161
gemini-2.5-flash,Gemini,60,10.938007131100253
gemini-2.5-flash,Gemini,61,10.331505214633538
gemini-2.5-flash,Gemini,62,5.744562646538029
gemini-2.5-flash,Gemini,63,6.015812497078013
gemini-2.5-flash,Gemini,64,7.495998932764064
gemini-2.5-flash,Gemini,65,6.609841147864296
gemini-2.5-flash,Gemini,66,8.789197915623474
gemini-2.5-flash,Gemini,67,10.073728207570422
gemini-2.5-flash,Gemini,68,3.8548670534792766
gemini-2.5-flash,Gemini,69,5.456189146281496
gemini-2.5-flash,Gemini,70,5.057667446560717
gemini-2.5-flash,Gemini,71,7.958014827832379
gemini-2.5-flash,Gemini,72,9.32148056909416
gemini-2.5-flash,Gemini,73,5.927900134111573
gemini-2.5-flash,Gemini,74,8.10617048920142
gemini-2.5-flash,Gemini,75,11.067068265805538
gemini-2.5-flash,Gemini,76,10.475208828467334
gemini-2.5-flash,Gemini,77,5.4
gemini-2.5-flash,Gemini,78,5.801723881744114
gemini-2.5-flash,Gemini,79,5.132250968142537
gemini-2.5-flash,Gemini,80,7.481310045707236
gemini-2.5-flash,Gemini,81,6.915200647848189
gemini-2.5-flash,Gemini,82,7.605261336732617
gemini-2.5-flash,Gemini,83,6.901449123191447
gemini-2.5-flash,Gemini,84,6.673080248281148
gemini-2.5-flash,Gemini,85,10.086624807139403
gemini-2.5-flash,Gemini,86,12.42014492669067
gemini-2.5-flash,Gemini,87,10.020977996183806
gemini-2.5-flash,Gemini,88,6.945502141674134
gemini-2.5-flash,Gemini,89,7.559761901012491
gemini-2.5-flash,Gemini,90,8.52936105461599
gemini-2.5-flash,Gemini,91,6.466065264130885
gemini-2.5-flash,Gemini,92,6.990708118638626
gemini-2.5-flash,Gemini,93,7.51598296964542
gemini-2.5-flash,Gemini,94,11.945291959596467
gemini-2.5-flash,Gemini,95,8.391066678319271
gemini-2.5-flash,Gemini,96,5.674504383644442
gemini-2.5-flash,Gemini,97,4.935585071701227
gemini-2.5-flash,Gemini,98,7.521967827636596
gemini-2.5-flash,Gemini,99,4.293017586733136
gemini-2.5-flash-lite,Gemini,0,6.56505902486794
gemini-2.5-flash-lite,Gemini,1,10.66302021005306
gemini-2.5-flash-lite,Gemini,2,8.12465383877984
gemini-2.5-flash-lite,Gemini,3,8.130190649671137
gemini-2.5-flash-lite,Gemini,4,10.046392387319939
gemini-2.5-flash-lite,Gemini,5,8.111103500757464
gemini-2.5-flash-lite,Gemini,6,7.212489168102785
gemini-2.5-flash-lite,Gemini,7,8.757853618324527
gemini-2.5-flash-lite,Gemini,8,8.485870609430714
gemini-2.5-flash-lite,Gemini,9,9.633794683301073
gemini-2.5-flash-lite,Gemini,10,7.269112738154499
gemini-2.5-flash-lite,Gemini,11,7.874642849044013
gemini-2.5-flash-lite,Gemini,12,7.027090436304346
gemini-2.5-flash-lite,Gemini,13,7.8198465458089395
gemini-2.5-flash-lite,Gemini,14,11.018166816671455
gemini-2.5-flash-lite,Gemini,15,7.33621155638249
gemini-2.5-flash-lite,Gemini,16,9.017205775626948
gemini-2.5-flash-lite,Gemini,17,8.669486720677297
gemini-2.5-flash-lite,Gemini,18,7.353910524340094
gemini-2.5-flash-lite,Gemini,19,10.25768004960186
gemini-2.5-flash-lite,Gemini,20,9.896969233053117
gemini-2.5-flash-lite,Gemini,21,8.000624975587844
gemini-2.5-flash-lite,Gemini,22,7.826876771739798
gemini-2.5-flash-lite,Gemini,23,6.577233460962139
gemini-2.5-flash-lite,Gemini,24,10.191172650877817
gemini-2.5-flash-lite,Gemini,25,13.407460609675496
gemini-2.5-flash-lite,Gemini,26,9.28331837222014
gemini-2.5-flash-lite,Gemini,27,7.937883848986454
gemini-2.5-flash-lite,Gemini,28,5.905082556577851
gemini-2.5-flash-lite,Gemini,30,6.539877674696982
gemini-2.5-flash-lite,Gemini,31,7.379024325749306
gemini-2.5-flash-lite,Gemini,32,6.134329629226
gemini-2.5-flash-lite,Gemini,33,8.426743143112883
gemini-2.5-flash-lite,Gemini,34,7.303423854604086
gemini-2.5-flash-lite,Gemini,35,8.599418584997476
gemini-2.5-flash-lite,Gemini,36,8.608135686662937
gemini-2.5-flash-lite,Gemini,37,8.000624975587844
